GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US29213,29213,"Taney County, Missouri",51675,51675,51910,52657,52909,53268,53826,54211,54584,55125,55852
0500000US29215,29215,"Texas County, Missouri",26008,26010,26035,25917,25779,25674,25648,25652,25801,25685,25571
0500000US29217,29217,"Vernon County, Missouri",21159,21161,21157,21080,20927,20975,20980,20758,20652,20536,20528
0500000US29219,29219,"Warren County, Missouri",32513,32512,32578,32571,32706,32950,33150,33490,33825,34365,34711
0500000US29221,29221,"Washington County, Missouri",25195,25199,25195,25097,25082,25138,25071,24786,24849,25008,24943
0500000US29223,29223,"Wayne County, Missouri",13521,13523,13507,13412,13395,13462,13467,13420,13227,13305,13122
0500000US29225,29225,"Webster County, Missouri",36202,36207,36263,36386,36389,36566,36983,37542,38091,38683,39109
0500000US29227,29227,"Worth County, Missouri",2171,2169,2152,2118,2079,2079,2054,2042,2015,2049,2040
0500000US29229,29229,"Wright County, Missouri",18815,18815,18851,18642,18628,18407,18271,18219,18260,18339,18378
0500000US29510,29510,"St. Louis city, Missouri",319294,319275,319318,319294,319387,318459,317395,315878,312389,307866,302838
